fra;week;P_f;P_h;P;T_f;T_h;T;cl_age90;pop
FR;2021-S08;4607;4289;8909;73543;70278;143946;79;5695639.13079729
FR;2021-S08;3330;2178;5517;57526;36084;93691;89;3245280.60813097
FR;2021-S08;1865;705;2576;37148;11772;48954;90;912580.606272853
FR;2021-S08;78550;71189;150431;1119116;937782;2062327;0;67114995
FR;2021-S09;3282;3598;7055;41734;45002;88742;09;7763205.6862729
FR;2021-S09;10216;10384;20899;120547;118886;241625;19;8336486.16053724
FR;2021-S09;13013;11498;24569;185671;149696;335832;29;7476787.18780411
FR;2021-S09;12610;11035;23692;175296;144892;320573;39;8295371.93193955
FR;2021-S09;12168;10529;22756;154001;131851;286173;49;8592886.15993015
FR;2021-S09;10386;10015;20448;151550;128295;280164;59;8792674.76801071
FR;2021-S09;7364;6863;14286;114657;106178;221378;69;8004082.76030424
FR;2021-S09;4418;4027;8455;74793;70714;145625;79;5695639.13079729
FR;2021-S09;2924;1971;4898;55329;35545;90935;89;3245280.60813097
FR;2021-S09;1330;555;1885;34276;11031;45339;90;912580.606272853
FR;2021-S09;77732;70499;149026;1108053;942329;2056978;0;67114995
FR;2021-S10;4483;4813;9564;77107;81709;163402;09;7763205.6862729
FR;2021-S10;13025;13367;26779;164359;165475;333593;19;8336486.16053724
FR;2021-S10;15839;14311;30213;201719;160476;362842;29;7476787.18780411
FR;2021-S10;15313;13426;28800;196859;158600;355964;39;8295371.93193955
FR;2021-S10;14496;13261;27811;173746;146073;320268;49;8592886.15993015
FR;2021-S10;12399;11857;24310;164283;137377;302082;59;8792674.76801071
FR;2021-S10;8315;7884;16287;119284;111073;231231;69;8004082.76030424
FR;2021-S10;4799;4380;9196;75032;71943;147136;79;5695639.13079729
FR;2021-S10;2975;2025;5011;54246;35245;89565;89;3245280.60813097
FR;2021-S10;1307;568;1876;33153;10613;43796;90;912580.606272853
FR;2021-S10;92967;85912;179902;1260052;1078899;2350565;0;67114995
FR;2021-S11;6255;6596;13186;116975;122163;245632;09;7763205.6862729
FR;2021-S11;15887;16393;32839;209751;209885;424975;19;8336486.16053724
FR;2021-S11;18045;16153;34272;220825;173596;395475;29;7476787.18780411
FR;2021-S11;18875;15678;34632;227122;176860;404741;39;8295371.93193955
FR;2021-S11;17300;15494;32876;199265;163045;362982;49;8592886.15993015
FR;2021-S11;14377;13637;28079;177424;147583;325544;59;8792674.76801071
FR;2021-S11;9869;9032;19016;125457;114124;240537;69;8004082.76030424
FR;2021-S11;5214;4865;10106;77024;72618;149810;79;5695639.13079729
FR;2021-S11;3249;2211;5472;53025;34361;87460;89;3245280.60813097
FR;2021-S11;1546;605;2156;31387;10333;41759;90;912580.606272853
FR;2021-S11;110638;100692;212691;1438574;1224928;2679719;0;67114995
FR;2021-S12;7940;8378;16695;152944;160424;320375;09;7763205.6862729
FR;2021-S12;21019;21725;43417;264383;265396;536605;19;8336486.16053724
FR;2021-S12;21177;18590;39887;251599;197515;450665;29;7476787.18780411
FR;2021-S12;22988;19165;42252;273048;207869;481975;39;8295371.93193955
FR;2021-S12;21648;19448;41195;239383;193316;433643;49;8592886.15993015
FR;2021-S12;17304;16590;33981;206269;169107;376038;59;8792674.76801071
FR;2021-S12;11395;10826;22397;144205;129366;275033;69;8004082.76030424
FR;2021-S12;6010;5637;11663;85066;78792;164030;79;5695639.13079729
FR;2021-S12;3716;2426;6152;57277;36738;94103;89;3245280.60813097
FR;2021-S12;1689;685;2376;33553;11322;44904;90;912580.606272853
FR;2021-S12;134923;123505;260107;1708157;1450271;3178421;0;67114995
FR;2021-S13;7968;8120;16489;180745;189497;378253;09;7763205.6862729
FR;2021-S13;22277;22982;46009;322756;328464;660342;19;8336486.16053724
FR;2021-S13;22677;20962;43781;292897;234446;529388;29;7476787.18780411
FR;2021-S13;23822;20310;44253;315442;245265;562298;39;8295371.93193955
FR;2021-S13;23037;21199;44367;278538;229354;509190;49;8592886.15993015
FR;2021-S13;18562;18017;36671;231812;194339;427100;59;8792674.76801071
FR;2021-S13;11750;11009;22873;154104;136635;291855;69;8004082.76030424
FR;2021-S13;6316;5876;12214;88485;81447;170150;79;5695639.13079729
FR;2021-S13;3870;2569;6453;59124;37526;96744;89;3245280.60813097
FR;2021-S13;1748;785;2533;35577;11561;47160;90;912580.606272853
FR;2021-S13;142065;131883;275751;1959972;1689010;3673600;0;67114995
FR;2021-S14;5024;5227;10568;69719;73650;146362;09;7763205.6862729
FR;2021-S14;16158;15797;32521;158542;153817;316366;19;8336486.16053724
FR;2021-S14;20738;19019;39928;226702;187415;415850;29;7476787.18780411
FR;2021-S14;20620;17940;38693;228296;188030;417652;39;8295371.93193955
FR;2021-S14;20259;18368;38739;204134;176434;381598;49;8592886.15993015
FR;2021-S14;16626;16077;32811;180882;155586;337189;59;8792674.76801071
FR;2021-S14;10502;9691;20233;123510;110756;234731;69;8004082.76030424
FR;2021-S14;5540;5173;10735;75522;69769;145527;79;5695639.13079729
FR;2021-S14;3376;2256;5639;54425;33940;88451;89;3245280.60813097
FR;2021-S14;1537;654;2195;34049;10771;44849;90;912580.606272853
FR;2021-S14;120419;110241;232152;1356074;1160398;2529254;0;67114995
FR;2021-S15;4691;4969;9918;43573;46337;91765;09;7763205.6862729
FR;2021-S15;15411;15112;30986;125206;118650;246997;19;8336486.16053724
FR;2021-S15;20367;19240;39785;217399;181714;401021;29;7476787.18780411
FR;2021-S15;19685;17936;37792;203452;174818;379741;39;8295371.93193955
FR;2021-S15;18874;17803;36802;184453;164067;349599;49;8592886.15993015
FR;2021-S15;16411;16406;32927;174185;151983;327025;59;8792674.76801071
FR;2021-S15;10397;9768;20220;119685;108726;228930;69;8004082.76030424
FR;2021-S15;5409;5213;10648;73556;68702;142481;79;5695639.13079729
FR;2021-S15;3348;2275;5633;55043;34220;89378;89;3245280.60813097
FR;2021-S15;1602;651;2256;34585;10875;45515;90;912580.606272853
FR;2021-S15;116224;109399;227049;1231407;1060326;2303274;0;67114995
