reg;week;P_f;P_h;P;T_f;T_h;T;cl_age90;pop
94;2020-S22;0;0;0;109;110;219;79;36685
94;2020-S22;2;1;3;61;58;119;89;19405
94;2020-S22;0;0;0;24;20;44;90;4779
94;2020-S22;4;2;6;842;728;1573;0;344679
01;2020-S23;0;0;0;5;3;9;09;40134
01;2020-S23;1;0;1;69;43;130;19;50483
01;2020-S23;1;1;2;150;97;279;29;34558
01;2020-S23;0;0;0;51;46;115;39;37149
01;2020-S23;1;0;1;61;57;143;49;48928
01;2020-S23;1;0;1;82;82;191;59;60524
01;2020-S23;0;2;2;63;53;137;69;51113
01;2020-S23;0;0;0;28;17;53;79;33062
01;2020-S23;0;0;0;7;6;16;89;16008
01;2020-S23;0;0;0;1;0;1;90;4920
01;2020-S23;4;3;7;517;404;1074;0;376879
02;2020-S23;0;0;0;9;13;22;09;33991
02;2020-S23;1;0;1;49;35;84;19;43014
02;2020-S23;0;1;1;98;66;166;29;31496
02;2020-S23;2;0;2;71;48;121;39;34280
02;2020-S23;0;0;0;59;48;108;49;42967
02;2020-S23;1;0;1;65;67;134;59;62671
02;2020-S23;1;1;2;60;52;112;69;52556
02;2020-S23;2;0;2;33;25;58;79;33509
02;2020-S23;0;0;0;7;11;18;89;18767
02;2020-S23;0;0;0;3;1;4;90;5498
02;2020-S23;7;2;9;454;366;827;0;358749
03;2020-S23;9;6;15;32;42;75;09;62043
03;2020-S23;17;11;31;85;87;195;19;58638
03;2020-S23;20;18;39;115;136;266;29;40421
03;2020-S23;29;21;51;136;127;278;39;39602
03;2020-S23;23;20;45;95;136;242;49;34757
03;2020-S23;12;19;31;64;103;174;59;27026
03;2020-S23;4;13;17;38;63;106;69;17446
03;2020-S23;2;2;4;16;17;34;79;7368
03;2020-S23;0;3;3;8;12;21;89;2721
03;2020-S23;0;0;0;3;4;7;90;669
03;2020-S23;116;114;237;592;729;1400;0;290691
04;2020-S23;0;0;5;31;64;103;09;121691
04;2020-S23;1;0;1;133;126;259;19;134452
04;2020-S23;1;1;2;352;229;581;29;98215
04;2020-S23;0;0;0;248;212;460;39;104568
04;2020-S23;1;1;2;218;179;397;49;113615
04;2020-S23;1;0;1;260;256;516;59;125597
04;2020-S23;0;0;0;220;252;472;69;89851
04;2020-S23;0;0;0;146;177;323;79;46693
04;2020-S23;0;0;0;64;67;131;89;20815
04;2020-S23;0;0;0;24;9;33;90;4462
04;2020-S23;4;2;11;1696;1571;3275;0;859959
05;2020-S23;0;0;0;0;0;0;09;703.704828175651
05;2020-S23;0;0;0;0;0;0;19;723.725880519921
05;2020-S23;0;0;0;0;0;0;29;475.133162078732
05;2020-S23;1;0;1;1;0;1;39;764.547319147651
05;2020-S23;0;0;0;0;0;0;49;1017.17633756848
05;2020-S23;0;0;0;0;0;0;59;978.233665832332
05;2020-S23;0;0;0;0;0;0;69;674.735312241807
05;2020-S23;0;0;0;0;0;0;79;405.196420115493
05;2020-S23;0;0;0;0;0;0;89;210.595968638888
05;2020-S23;0;0;0;0;0;0;90;43.9511056810479
05;2020-S23;1;0;1;1;0;1;0;5997
06;2020-S23;1;2;3;23;28;57;09;84963
06;2020-S23;12;10;24;43;34;81;19;65294
06;2020-S23;17;24;41;87;81;168;29;36651
06;2020-S23;16;15;31;92;86;179;39;37697
06;2020-S23;14;13;27;50;95;146;49;28132
06;2020-S23;13;10;23;44;68;112;59;14768
06;2020-S23;2;6;8;19;32;51;69;7746
06;2020-S23;2;3;5;6;8;14;79;3034
